,label,name,party,wahlkreis,x,y,digital,familie,demokratie,natur,arbeit
0,rita-hagl-kehl,Rita Hagl-Kehl,SPD,Deggendorf,316.4749,-444.66183,0.02238115184953121,0.032683304914977236,0.016421845838700797,0.09840742423293232,0.08780797828154649
1,sibylle-schmidt,Sibylle Schmidt,AfD,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,-200.76682,277.9804,0.010890040128302634,0.06493072962517958,0.016923469246575132,0.0,0.0
2,katja-kipping,Katja Kipping,DIE LINKE,Dresden I,496.56717,661.1743,0.0,0.030516547393288008,0.01758224451211383,0.0,0.1127074070777634
3,alexander-horlamus,Alexander Horlamus,SPD,Roth,-127.63067,-108.34842,0.0,0.0,0.03943792215151992,0.0,0.020624654115736725
4,carsten-preus,Carsten Preuß,DIE LINKE,Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I,463.3329,796.0375,0.015511046367681556,0.015380152178264281,0.04865798554992083,0.10500229185731916,0.12383042745407866
5,danyal-bayaz,Dr.  Danyal Bayaz,DIE GRÜNEN,Bruchsal - Schwetzingen,308.8035,-202.1125,0.06128133810234344,0.0101436034511056,0.0,0.06100819286417796,0.0
6,ellen-gause,Ellen Gause,DIE GRÜNEN,Rotenburg I - Heidekreis,142.3235,-158.19644,0.03875498991916968,0.020804140084485025,0.01835832388519092,0.06316407133710766,0.012844700075506369
7,mirco-hanker,Mirco Hanker,AfD,Braunschweig,-549.9272,386.75455,0.012855149393066772,0.10969042168608703,0.0737111502197858,0.0051703892435830436,0.06154863453950321
8,sebastian-misselhorn,Sebastian Misselhorn,DIE LINKE,Rosenheim,996.11615,336.31775,0.0,0.012180413972105177,0.05020608031338725,0.0,0.16555519732824142
9,leif-erik-holm,Leif-Erik Holm,AfD,Vorpommern-Rügen - Vorpommern-Greifswald I,1073.5253,-75.788925,0.0,0.14624464924579875,0.08033235105490998,0.0,0.0686836325753295
10,gunther-gorlich,Günther Alfred Görlich,FREIE WÄHLER,München-Süd,-118.04865,-35.8233,0.0,0.0,0.0,0.0,0.024571116608103058
11,lucia-maria-fischer,Lucia Maria Fischer,ÖDP,Oberallgäu,-933.89844,87.29628,0.0,0.0,0.11043310755508004,0.07007663681125914,0.009760212838539258
12,sebastian-knopf,Sebastian Knopf,DIE LINKE,Worms,177.46611,-777.20905,0.003318923577892041,0.007468461346556353,0.10464233863118752,0.00588389547282241,0.011192546135674487
13,dr-hans-joachim-schabedoth,Dr. Hans Joachim Schabedoth,SPD,Hochtaunus,36.48203,-246.38708,0.010333557709580232,0.034768729458758675,0.015238345873829268,0.026192137684773086,0.0378775799962341
14,evelyn-edler,Evelyn Edler,DIE LINKE,Harz,386.67145,135.71097,0.0,0.02688884922853776,0.0485749710405937,0.0,0.096383068752935
15,christina-steinhausen,Christina Steinhausen,FDP,Ahrweiler,-282.09598,-610.6288,0.025939018974630364,0.05299726638707604,0.030901625513354625,0.03189158096655037,0.009328638862952144
16,hannes-grabner,Hannes Gräbner,SPD,Bad Tölz - Wolfratshausen - Miesbach,574.4685,348.14734,0.0,0.1323167014588284,0.01877540083039189,0.0,0.09237516802092488
17,claudia-moll,Claudia Moll,SPD,Aachen II,965.73346,78.47358,0.0,0.02042460168746177,0.001799102093930466,0.016147327413413484,0.12812617227060494
18,jan-niclas-gesenhues,Jan-Niclas Gesenhues,DIE GRÜNEN,Steinfurt III,477.3206,-53.30477,0.059758640051327964,0.078442653931541,0.018104863687797818,0.14179682690528278,0.021584589093940454
19,christoph-matschie-2,Christoph Matschie,SPD,Jena - Sömmerda - Weimarer Land I,1154.6339,-128.76233,0.041276321955992096,0.14830898571060958,0.010097353946191,0.025621667120756253,0.14062428893401147
20,nadije-memedi,Nadije Memedi,DIE LINKE,Cuxhaven - Stade II,279.0385,218.56921,0.002188540632669178,0.038349981857340655,0.02948645887646253,0.0463378940504717,0.041465579068781934
21,heiko-miras,Heiko Miraß,SPD,Mecklenburgische Seenplatte I - Vorpommern-Greifswald II,544.80524,-690.03424,0.006819619687152796,0.10779302490389717,0.01704340601954024,0.016587413498871634,0.06874160097813202
