,label,name,party,wahlkreis,x,y,digital,familie,demokratie,natur,arbeit,top_word_0,top_word_1,top_word_2,top_word_3,top_word_4,top_word_5,top_word_6,top_word_7,top_word_8,top_word_9,top_word_10,top_word_11,top_word_12,top_word_13,top_word_14,top_word_15,top_word_16,top_word_17,top_word_18,top_word_19,top_word_20,top_word_21,top_word_22,top_word_23,top_word_24,top_word_25,top_word_26,top_word_27,top_word_28,top_word_29,top_word_30,top_word_31,top_word_32,top_word_33,top_word_34,top_word_35,top_word_36,top_word_37,top_word_38,top_word_39
0,rita-hagl-kehl,Rita Hagl-Kehl,SPD,Deggendorf,316.4749,-444.66183,0.022381151849531208,0.032683304914977236,0.016421845838700797,0.09840742423293232,0.08780797828154649,BAföG,Hetze,gleichermaßen,Ungleichheit,Zugang,Rechts,Umweltschutz,Handel,ausbauen,Landwirtschaft,zusammengedacht,wegbricht,Raum,fordern,fossilen,Nachhaltige,Versorgungsstruktur,Güterverkehr,kleinbäuerlich,einhergehen,globalen,Direktvermarktung,Beim,Reduktion,Energieträger,Systems,Innovationskraft,2050,Deshalb,erhalten,Ländliche,Stellung,schnellstmöglich,Pestiziden,artgerecht,Leiharbeiter,Lohndumping,studierend,ärztlich,entgegentreten
1,sibylle-schmidt,Sibylle Schmidt,AfD,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,-200.76682,277.9804,0.010890040128302634,0.06493072962517958,0.016923469246575132,0.0,0.0,Erkrankte,schwer,innerer,bestehen,Eltern,destruktive,arrangierter,zurückbringen,inobhutnahmen,beweissichere,süchtig,zurückgesetzt,berechenbaren,schneeballsystem,nachweisen,Unfall,Mithilfe,Misshandlung,Alkohol,Ächtung,demographischen,Droge,viele,psychologisch,58,zugeht,Zufriedenheit,islamisch,Gremium,unmissverständlich,Null,bergen,Branche,überwiegend,nützen,zurückdrängen,Straftat,Tod,missbrauch,ablehnen
2,katja-kipping,Katja Kipping,DIE LINKE,Dresden I,496.56717,661.1743,0.0,0.030516547393288008,0.01758224451211383,0.0,0.1127074070777634,Gesellschaft,Armut,gleichsam,drängen,Rand,entschieden,2004,Antrieb,Mittelschicht,fünfter,Sprecherin,2008,Netzwerk,gründen,grundeinkommen,2010,neoliberal,deswegen,Bewegung,IV,bundesweit,Kampf,Hartz,engagieren,Dabei,reichen,Teilhabe,treten,Gesetz,besonders,leben,Kind,sozial,gewünscht,getrennt,gesund,gewaltbereiten,gewöhnen,gewaltig,gewährleisten
3,alexander-horlamus,Alexander Horlamus,SPD,Roth,-127.63067,-108.34842,0.0,0.0,0.03943792215151992,0.0,0.020624654115736725,Roth,egal,Heimat,wohlverdiente,neuester,Lebensstil,Lebenswelt,präsent,Lauf,Ingenieur,ansprechbar,Pension,Bundestagswahlkreis,einzigartig,Nürnberger,anstehend,freue,Student,genießen,Egal,lebend,beiden,unterschiedlich,Landkreis,bestehend,Vielfalt,darauf,Forschung,beruflich,besonderer,Gemeinde,Bürgerin,aktiv,Interesse,Deshalb,einsetzen,Rente,leben,Bürger,großzügig
4,carsten-preus,Carsten Preuß,DIE LINKE,Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I,463.3329,796.0375,0.015511046367681556,0.015380152178264281,0.04865798554992083,0.10500229185731916,0.12383042745407866,sozial,Umbau,ökologisch,Gesellschaft,Profiteuren,gewählt,gerecht,friedlich,militärisch,Krieg,Verantwortung,entscheiden,Frage,nachhaltig,führen,Gewalt,Konflikt,Waffe,Waffenexport,Auslandseinsatz,treffen,Gerechtigkeit,Parlament,Folge,wer,Prozent,Leben,weltweit,quo,ausdienen,momentan,aufgelegte,demokratisch,Bruttoinlandproduktes,Finanzausstattung,exportieren,Gemeinwohls,schere,Energiesektor,Umweltverschmutzung
5,danyal-bayaz,Dr.  Danyal Bayaz,DIE GRÜNEN,Bruchsal - Schwetzingen,308.8035,-202.1125,0.06128133810234344,0.0101436034511056,0.0,0.06100819286417796,0.0,geflüchteten,Finanzmarkt,Gestaltung,Verteidigung,Modernisierung,Arbeitsmarkt,Herausforderung,Integration,Verkehr,offen,ökologisch,Stärkung,Digitalisierung,Wirtschaft,Europa,Gesellschaft,gewährleisten,gewähren,gewähltes,gewählt,gewöhnen,gewünscht,gewiß,gezielt,000,gewerkschaftlich,gewaltsam,gewaltig,gewaltbereiten,getrennt,gesundheitlich,gesunde,gesund,gesteuerte,gestern,gestalten,gespalten,gewiss,gewinnen,glasfaser
6,ellen-gause,Ellen Gause,DIE GRÜNEN,Rotenburg I - Heidekreis,142.3235,-158.19644,0.03875498991916968,0.020804140084485025,0.01835832388519092,0.06316407133710766,0.012844700075506369,ersetzen,sterben,Technik,senken,Verfügung,Folge,Investition,gleichzeitig,Landwirtschaft,vorzeitig,zunehmendes,provitieren,Erdöl,umstellen,Einzelinteresse,verantwortungsvoller,verschmutzt,umweltverträglich,hinterfragen,belasteter,nahezu,mehrere,Energieträger,Verursacher,multiresistente,Fluchtbewegungen,schädlich,Erdgas,Ausstoß,blockieren,Medikament,rasant,artgerecht,Keim,Vordergrund,Feinstaub,afrikanisch,erneuerbaren,Wirkung,trotzdem
7,mirco-hanker,Mirco Hanker,AfD,Braunschweig,-549.9272,386.75455,0.012855149393066772,0.10969042168608703,0.0737111502197858,0.0051703892435830436,0.06154863453950321,Progression,Merkel,erste,Unfähigkeit,kürzen,Stattdessen,Job,bekommen,wohl,Kind,Geld,Parlament,Milliarde,Familie,Gesetz,kalten,dauern,teureren,indexieren,permanenter,säkular,aufmachen,angewöhnen,illegalerweise,bereichern,zugesagt,diskriminierend,zweitgrößter,paar,direktkandidaten,verantwortliche,Gabriel,eins,wahrnehmbar,umverteilt,Hunderttausend,langzeitarbeitslose,enteignen,Braunschweig,Lindner
8,sebastian-misselhorn,Sebastian Misselhorn,DIE LINKE,Rosenheim,996.11615,336.31775,0.0,0.012180413972105177,0.05020608031338725,0.0,0.16555519732824142,sicherstellen,Pflegenotstand,zahlen,Anhebung,Reform,beenden,verhindern,gesetzlich,kapitalgewinne,fordern,tatsächlichen,Sicherheitssystem,Beitragsbemessungsgrenze,kategorisch,Riesterrente,überführen,PKV,bundesweite,Gemeinschaftsschule,Erwerbstätigenversicherung,Bildungschancen,erwerbstätige,Abitur,Umwandlung,Reformierung,Schicht,Steuermittel,Fallpauschalen,ähnlich,Frieden,Aufwand,Pflegeversicherung,14,sinkend,einrichten,Freiberufler,selbstständig,mittels,schlagen,beschränken
9,leif-erik-holm,Leif-Erik Holm,AfD,Vorpommern-Rügen - Vorpommern-Greifswald I,1073.5253,-75.788925,0.0,0.14624464924579875,0.08033235105490998,0.0,0.0686836325753295,geschützte,Schweizer,Identität,Volksabstimmung,Selbstbestimmung,Grenze,Vorbild,Erhalt,gute,Unterstützung,Wert,sichern,Freiheit,Familie,Sicherheit,Rente,Kind,Arbeit,gesund,gewöhnen,gewährleisten,gespalten,gewähren,gewähltes,gestalten,gewählt,gewiß,gestern,gesteuerte,gewinnen,gewerkschaftlich,gewaltsam,gewünscht,gewaltbereiten,getrennt,gesundheitlich,gesunde,gewiss,gewaltig,glaubwürdig
10,gunther-gorlich,Günther Alfred Görlich,FREIE WÄHLER,München-Süd,-118.04865,-35.8233,0.0,0.0,0.0,0.0,0.024571116608103058,Angehörige,Bedingungsloses,Pflegende,Grundeinkommen,einführen,unterstützen,gewährleisten,gewünscht,gewähren,gewähltes,gewaltsam,gewählt,gewiß,gewiss,gewinnen,gewerkschaftlich,gewöhnen,gewaltbereiten,gezielt,getrennt,gesundheitlich,gesunde,gesund,gesteuerte,gestern,gestalten,gespalten,gesichert,gesetzlich,gesetzeswidrig,gewaltig,ggf,000,giftig,grundsätzlich,grundlos,grundlegend,grundeinkommen,großzügig,großkonzerne
11,lucia-maria-fischer,Lucia Maria Fischer,ÖDP,Oberallgäu,-933.89844,87.29628,0.0,0.0,0.11043310755508004,0.07007663681125914,0.009760212838539258,Direkte,Profit,Landwirtschaft,naturschonende,bürgerschaftliches,bedien,hinterfragen,Flächenversiegelung,Einzelner,Rückbesinnung,Problematiken,Industrialisierung,Flüchtlingsproblematik,erstrecken,Maßgabe,Stellenwert,Einhalt,zuführen,Lebensweise,Überprüfung,Konsens,Konsequente,Aktivität,Hinblick,Demokratie,hinnehmen,wahren,Ding,begegnen,Korruption,bilden,Aufhebung,Situation,Priorität,Reduzierung,Mitbestimmung,Beteiligung,Bedingung,grundlegend,verschieden
12,sebastian-knopf,Sebastian Knopf,DIE LINKE,Worms,177.46611,-777.20905,0.003318923577892041,0.007468461346556353,0.10464233863118752,0.00588389547282241,0.011192546135674487,Worms,insbesondere,Kommune,Neuordnung,2001,Ausbau,Thema,Landesebene,2009,39,mitbestimmen,Saarland,herzlich,Internetseite,demokratisches,Bitte,09,Pfalz,sitzen,Rheinland,Stadtrat,lieber,engagiere,Bürgerbeteiligung,Wählerin,aufnehmen,Wahlprogramm,ausstatten,Zudem,Landkreis,Volksentscheid,bundesweit,ausreichend,tragen,folgend,Bahn,Viele,Bundesebene,Finanzierung,Wähler
13,dr-hans-joachim-schabedoth,Dr. Hans Joachim Schabedoth,SPD,Hochtaunus,36.48203,-246.38708,0.010333557709580232,0.034768729458758675,0.015238345873829268,0.026192137684773086,0.0378775799962341,Wirtschaft,Energie,Arbeit,zuordnen,Leserin,Unternehmertum,Ausschuß,fachlich,Arbeitsgruppe,Ärger,Industriepolitik,Facharbeiter,Leser,bloß,Herzlichst,Hans,Ausschuss,Gelegenheit,nützen,Bundestagsfraktion,Themenfeld,globalisiert,Ja,mitwirken,steigern,Fraktion,Dr,Elektromobilität,zudem,spät,Anliegen,soziale,fragen,Regel,Profit,kennen,lernen,können,Liebe,vertreten
14,evelyn-edler,Evelyn Edler,DIE LINKE,Harz,386.67145,135.71097,0.0,0.02688884922853776,0.0485749710405937,0.0,0.096383068752935,Stimme,Steuergeschenk,Geld,Sozialabbau,Rüstung,Runde,27,zurückgeben,Superreiche,Elite,Steuergerechtigkeit,Ausnahme,weitergehen,Kriegseinsatz,sinken,Bildungs,herstellen,stark,regieren,Polizist,Lehrer,Mehrheit,Regel,Sozialstaat,Viele,fehlen,oft,Leiharbeit,Liebe,Gemeinde,Seit,Kitas,verdienen,Straße,Bürgerin,sorgen,nehmen,wissen,vielen,Interesse
15,christina-steinhausen,Christina Steinhausen,FDP,Ahrweiler,-282.09598,-610.6288,0.025939018974630364,0.05299726638707604,0.030901625513354625,0.03189158096655037,0.009328638862952144,Wirtschaftspolitik,Investition,vorurteilsfrei,ideologie,liegen,rechtsradikale,Windräder,konzipieren,Ahrweiler,höchstes,Landflucht,wehen,beeinträchtigen,Reichsbürger,Agrar,Arbeitsmarktpolitik,Seele,radikale,Soli,verfehlen,Freiheit,verantwortungsvoll,IS,aufzeigen,Nachbarland,Mittelschicht,ungerechte,Steuersenkung,Nachbar,entgegenwirken,Familienförderung,sowie,voller,Chancengerechtigkeit,Sanierung,schwer,fit,Wind,Verbraucherschutz,Migration
16,hannes-grabner,Hannes Gräbner,SPD,Bad Tölz - Wolfratshausen - Miesbach,574.4685,348.14734,0.0,0.1323167014588284,0.018775400830391892,0.0,0.09237516802092488,früh,Beispiel,ausgewogenes,regelfall,verwandeln,fragwürdig,regulär,Meisterschule,Oberland,empfinden,Beschäftigungsverhältnis,sicheres,Arbeitsvertrag,Gerechtigkeit,Werkvertrag,schwierig,Rückkehrrecht,zurückführen,Leute,unterer,Minijobs,Teilzeit,Familie,Großkonzern,engagiert,Ungleichheit,schön,prekär,kandidieren,bitte,Vermögenssteuer,wachsen,Bundestagsabgeordneter,Bayern,kostenlos,Jugend,Gemeinwohl,miteinander,möglichst,Daher
17,claudia-moll,Claudia Moll,SPD,Aachen II,965.73346,78.47358,0.0,0.02042460168746177,0.001799102093930466,0.016147327413413484,0.12812617227060494,ZEIT,Arbeitnehmerin,Arbeitnehmer,verlässlich,gute,setzen,Rente,fair,RENTE,ARBEIT,Pflegekräfte,überlasten,Tarif,Industrienation,Aufstocker,Schande,planbar,Arbeitsleben,Pflegenotstand,führend,krank,Lebensstandard,verfügen,absichern,hochwertig,real,intensiv,Ungerechtigkeit,Job,garantieren,Amt,Bezahlung,Arbeitsbedingung,Stärke,entscheidend,neben,spät,somit,stabil,gering
18,jan-niclas-gesenhues,Jan-Niclas Gesenhues,DIE GRÜNEN,Steinfurt III,477.3206,-53.30477,0.059758640051327964,0.078442653931541,0.018104863687797814,0.14179682690528278,0.021584589093940454,Münsterland,Fortschritt,Zukunft,Natur,riesig,ökologisch,Weiche,Planet,Klima,erleben,darüber,Bundesregierung,genug,Chance,grüne,global,Bundestagswahl,aktuell,handeln,stark,übergeben,zufriedenes,Ökologischer,zukunftsfestes,schwimmt,blockierend,zerstritten,Stimme,gefallen,zerbrechlich,Schütze,Regen,naturkatastrophen,sicher,stellen,Holz,Regenwald,Stillstand,bäuerlich,mitten
19,christoph-matschie-2,Christoph Matschie,SPD,Jena - Sömmerda - Weimarer Land I,1154.6339,-128.76233,0.041276321955992096,0.14830898571060958,0.010097353946191,0.025621667120756253,0.14062428893401147,versichern,Deshalb,Stellung,mutige,stabilisieren,Dorf,aufwachsen,Kindergarten,Ausgleich,Krankenversicherung,Darum,Reich,dauerhaft,Arm,Respekt,Schritt,beitragen,egal,Bürgerversicherung,mittlerer,verdienen,Vermögen,abschaffen,investieren,entlasten,fair,entscheiden,bekommen,kämpfen,Förderung,klein,Dafür,gemeinsam,Einkommen,gleich,Stadt,erhalten,Schule,Europa,Welt
20,nadije-memedi,Nadije Memedi,DIE LINKE,Cuxhaven - Stade II,279.0385,218.56921,0.002188540632669178,0.038349981857340655,0.02948645887646253,0.0463378940504717,0.04146557906878194,Verbot,Stärkung,idealistisch,regionalem,solidarisch,Anbau,saisonal,Soldat,Ernährung,Rüstungsausgabe,drastisch,bürgerlich,enden,geltend,Fokus,Neben,Auge,Reduzierung,Gesellschaft,Auslandseinsatz,Friedenspolitik,Menschenrecht,beginnen,zusammenleben,besonderer,global,Dabei,Ende,persönlich,weltweit,weniger,ökologisch,fordern,Ausbau,möglich,sicher,gleich,ganz,Recht,Chance
21,heiko-miras,Heiko Miraß,SPD,Mecklenburgische Seenplatte I - Vorpommern-Greifswald II,544.80524,-690.03424,0.006819619687152796,0.10779302490389717,0.01704340601954024,0.016587413498871634,0.06874160097813202,gerechte,zügige,weiterverfolgen,dörflich,besonders,Förderung,sichern,Neubrandenburg,Forcierung,medizinischer,Wirtschaftsraum,Tarifbindung,Startchance,Beitragssatz,Ländliche,Gerechte,solidarrente,Sozialversicherung,versicherter,Meister,langjährig,Breitbandausbau,Arbeitnehmerin,Sozialleistung,gebührenfreie,sachgrundlosen,Universität,Fuß,Niveau,Arbeitswelt,Dorf,breit,betrieblich,Bundesrepublik,stark,Bildung,Initiative,gezielt,Mitbestimmung,stabil
22,pascal-meiser,Pascal Meiser,DIE LINKE,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,432.20963,553.1879,0.014722397455085384,0.03167744449690281,0.004302336284852082,0.0,0.10080812308013452,Berlin,leben,Miete,denen,wahnwitzige,Armut,Kiez,explodierenden,zurzeit,Berg,Nazi,Aufrüstungsspirale,verdoppeln,verbreiten,verschließen,Präsident,wehren,Tendenz,Hauptstadt,Militärausgabe,US,dramatisch,Löhne,spalten,Glück,Hetze,Ost,Trump,linker,Absicherung,Auge,kämpfe,wirksam,Bundestagsabgeordneter,Mietpreisbremse,Merkel,steigend,morgen,zugleich,beginnen
23,agnes-hasenjager,Agnes Hasenjäger,DIE LINKE,Rotenburg I - Heidekreis,-126.82879,613.3095,0.01582485096895601,0.01410744990061077,0.06011101013667172,0.013792408259071841,0.08270916237750571,Friedensbüro,Hannover,Reichtum,insofern,inzwischen,Militarisierung,Bundeswehr,Terrorist,beschließen,Verbot,gewährleisten,Beitrag,Grundgesetz,Schwerpunkt,Versorgung,Problem,atomar,wiederentdecken,züchten,aufrufen,Aufgabe,schweigen,unmoralisch,Sklavenhandel,verdienend,Spitze,eins,Verdi,möglich,Juli,Hauptanliegen,Ware,Qualitätsstandard,Aktion,reichsten,verfassungswidrig,Geld,öffentlich,Atomwaffe,Einkommenssteuer
24,britta-walthelm,Britta Walthelm,DIE GRÜNEN,Nürnberg-Nord,610.8776,-469.78503,0.027489865049699143,0.09534209373837896,0.015064421595757252,0.2120010799056911,0.061527314175597016,stärken,2030,Sicherheitspolitik,grün,Familie,beenden,steigen,Flüchtling,bekämpfen,ökologisch,sorgen,Landwirtschaft,Frau,Gleichberechtigt,Erfüllung,dazugehört,Asylrechtsverschärfung,rüstungsexporten,Alleinerziehende,Adoptionsrecht,Ackergifte,Strombereich,verbindlichen,staatsbürgerschaftsrecht,Wirtschaftsleistung,Klimaschutzziel,klimafeindlichen,Zehn,Rüstungsexportgesetz,nachholen,schalten,Staatsbürger,abgasfreie,Durchbruch,kinderarmut,Krisenregionen,sozial,industrielle,anerkannt,Unsicherheit
25,annette-heidrich,Annette Heidrich,SPD,Altötting,909.6696,163.99309,0.01906196432742564,0.11164359002077733,0.05080698802817606,0.008888719745072035,0.13191958676024199,Bayern,fordern,Wohnungsbaugesellschaft,Lösung,vielen,Bereich,bedrohen,Grundrecht,ebenso,wohnen,Million,entwickeln,Kita,deutlich,weniger,Bildung,Wohnraum,überdachen,zahlungsfähig,bedeutsamer,Überwachungskamera,durchreisen,Altersarmut,Verantwortung,Frau,zusammenlebens,Meisterschule,Fort,Gefährder,Genossenschaft,Schul,106,vorderer,Gestaltungsmöglichkeit,Unternehmen,Tarifbindung,installieren,letztendlich,einnehmen,bestreiten
26,andreas-steier,Andreas Steier,CDU,Trier,-84.538155,-683.1971,0.060396512152408835,0.012536401555372721,0.0118326805407139,0.0,0.01102558442216097,Interessenvertreter,Trier,Junge,Dienstleistung,Handwerk,Bürokratieabbau,gerne,Industrie,Union,Handel,Mittelstand,digital,fordern,sichern,schon,Ausbau,Arbeitsplatz,Thema,gemeinsam,Region,weit,sowie,Zukunft,gleichstellen,glücklich,gewähltes,go,gewählt,gewiß,greifen,gewiss,gewinnen,gewerkschaftlich,gewaltsam,gewaltig,grenzüberschreitend,gewaltbereiten,getrennt,griechisch,gesundheitlich
27,markus-brem,Dr. Markus Brem,FREIE WÄHLER,Augsburg-Land,-762.358,-134.52989,0.03326081484019741,0.040075622257490416,0.05157893404399937,0.03583199234061993,0.002420135399389325,Landwirt,frisch,behindern,Missgunst,erleben,liegen,Zukunftsfähigkeit,Massenproduktion,Konzentrieren,Hektar,Betrieb,Wechsel,Luxus,personell,Wind,Entwicklungshilfe,aufs,Hass,Dorf,wesentlich,Energieversorgung,Ehrenamt,eigen,reden,Haus,täglich,zwei,Idee,zeigen,Kind,Landwirtschaft,scheinheilig,relativen,wahnsinnig,vorweisen,weiterführen,infrastrukturkosten,innerörtlich,neuem,personellen
28,christine-lambrecht,Christine Lambrecht,SPD,Bergstraße,1054.284,-223.33353,0.01100586346365335,0.14564367312723556,0.010495461461751673,0.003131721804256564,0.07299812250627351,gerechteren,daher,Frage,Gesellschaft,ebnen,paritätischen,Einführung,gelangen,abgeordnetenwatch,Versicherungsbeitrag,oberhalb,fortsetzen,klären,zufrieden,solidarrente,Lebenssituation,150,63,diskutieren,hierzu,Familienarbeitszeit,versicherter,Lebensbedingung,Meister,motivieren,Familiengeld,48,Stabilisierung,weitergehen,Vision,Beitragsjahr,45,gebührenfrei,Nutzen,Mindestlohns,Gespräch,erfahren,Befristungen,herstellen,Anspruch
29,sahra-mirow,Sahra Mirow,DIE LINKE,Heidelberg,801.8587,526.39886,0.022029645427526855,0.010747703456163564,0.007822006598790902,0.0,0.19099595887416226,mies,existenzangst,Millionärssteuer,sozial,bezahlt,hoch,streiten,Lassen,Kindergrundsicherung,zwingen,annehmen,Job,Absicherung,1050,Monat,deswegen,Daseinsvorsorge,Mittelpunkt,beteiligen,engagieren,Statt,weniger,solidarisch,Ausbau,möglich,Lohn,eigen,gemeinsam,öffentlich,Zeit,Leben,Zukunft,Rente,leben,gewähren,gewähltes,gestalten,gestern,gesteuerte,gesund
30,harald-becker,Harald Becker,Tierschutzallianz,Rottweil - Tuttlingen,-843.2124,333.68823,0.005013431880289493,0.0167530054690524,0.09145905699184892,0.023080543920934345,0.033822919614432116,Herabsetzung,Recht,tierversuchsfreier,sachkunde,bisexuelle,riskieren,Abschaffung,Gesundheitssystems,Sperrklausel,Gewalttat,Wahlalter,homo,Cannabis,Chaos,Wirtschaftsunternehmen,eigen,Erhebung,Neugestaltung,willkürlich,Fremdbestimmung,Tierversuch,Basisdemokratie,unterbinden,Strafe,schluss,Prävention,Lebewesen,Schließung,gleiche,streng,Abkehr,jeglicher,Freiheitsrecht,Steuereinnahme,Diskriminierung,Bundesland,usw,Aufhebung,erwarten,Dadurch
31,thomas-hasel,Thomas Hasel,Parteilos,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,-147.3292,682.1867,0.02935399626371045,0.04740156966764235,0.1690244883138825,0.016099017155012663,0.046487749904958436,Potential,tun,ernst,Aufgabe,Menschheit,Planet,gemeinsam,Demokratie,Solidarität,helfen,Grundlage,Zukunft,Natur,Gesellschaft,Bürger,nehmen,Armut,demokratisch,frühesten,hegen,größtmögliche,Repräsentant,hören,beste,Optimismus,Kindheit,angehören,gewaltig,Wirtschaftswachstum,Inland,Vertretung,Frieden,Fairness,Nationalität,Kreativität,Hautfarbe,wirkungsvoll,unterdrücken,spalten,Zeit
